sample_id,text,label,label_int,source,source_split,sentence_size,word_count,premise_id
HUM_INDONLI_0001,Lincoln menjabat sebagai presiden sejak 4 April 1861. Ia dikenal sebagai sosok pemimpin yang mempertahankan persatuan bangsa dan menghapuskan perbudakan.,human,0,IndoNLI,train,single,20,12733
HUM_INDONLI_0002,"Aceh Darussalam pada zaman kekuasaan zaman Sultan Iskandar Muda Meukuta Perkasa Alam (Sultan Aceh ke 19), merupakan negeri yang amat kaya dan makmur. Menurut seorang penjelajah asal Prancis yang tiba pada masa kejayaan Aceh pada zaman tersebut, kekuasaan Aceh mencapai pesisir barat Minangkabau hingga Perak. Kesultanan Aceh telah menjalin hubungan dengan kerajaan-kerajaan di dunia Barat pada abad ke-16, termasuk Inggris, Ottoman, dan Belanda.",human,0,IndoNLI,test,multiple,63,3147
HUM_INDONLI_0003,"Berbeda dari tahun lalu, musim ini di ajang Premier Badminton League (PBL) 2020, Hendra membela tim Pune 7 Aces berpasangan dengan atlet asal India, Chirag Shetty.",human,0,IndoNLI,train,double,26,12388
HUM_INDONLI_0004,Para koki di Eropa lantas memutar otak untuk mencari penggantinya. Bonito hanya dijual di toko-toko khusus di seluruh Uni Eropa.,human,0,IndoNLI,train,single,20,12161
HUM_INDONLI_0005,"Disimpulkan 6 juta tahun sebelum jadi benua es, Antartika berupa hutan dan sungai, penuh kehidupan.",human,0,IndoNLI,train,single,15,10754
HUM_INDONLI_0006,"Selain rumah yang rusak, area persawahan milik warga 5 hektare longsor dengan kedalaman 10 meter dan lebar 250 meter.",human,0,IndoNLI,,"['COORD', 'MORPH', 'STRUCT']",19,38150
HUM_INDONLI_0007,"Surakarta dan kota-kota satelitnya (Kartasura, Solo Baru, Palur, Colomadu, Baki, Ngemplak) adalah kawasan yang saling berintegrasi satu sama lain. Kawasan Solo Raya ini unik karena dengan luas kota Surakarta sendiri yang hanya 44 km persegi dan dikelilingi kota-kota penyangganya yang masing-masing luasnya kurang lebih setengah dari luas kota Surakarta dan berbatasan langsung membentuk satu kesatuan kawasan kota besar yang terpusat.",human,0,IndoNLI,test,double,60,3141
HUM_INDONLI_0008,"Sebelumnya, Ada jatuh sakit pada 17 Maret, mengidap demam dan kesulitan bernapas sebelum akhirnya didiagnosis secara resmi mengidap COVID-19.",human,0,IndoNLI,train,single,19,11638
HUM_INDONLI_0009,"Di dalam poster tertulis Jogja Bergerak untuk keadilan dan HAM, penggalangan dana untuk keluarga syuhada. Di dalam poster juga ada gambar massa yang mengenakan baju bertuliskan FPI.",human,0,IndoNLI,test,double,27,4538
HUM_INDONLI_0010,"Publik kembali dihebohkan dengan orang biasa yang wajahnya sangat mirip artis terkenal. Adalah cewek cantik asal Pekanbaru, Riau, yang bernama Hayatul Ma'rifah yang belakangan disorot karena mirip Ivan Gunawan alias Igun.",human,0,IndoNLI,test,double,31,4136
HUM_INDONLI_0011,"Tahun 1967 merupakan tahun pertentangan ideologi di dalam sejarah Indonesia. Di mana, saat itu Presiden Soekarno dianggap gagal dalam menjalankan ketatanegaraan terutama ketika adanya Gerakan 30 September (G-30-S/PKI).",human,0,IndoNLI,train,single,28,11963
HUM_INDONLI_0012,"Setelah merilis album, G-Dragon juga akan melakukan tur konser seorang diri tanpa keempat personel Bigbang lainnya.",human,0,IndoNLI,train,double,16,12194
HUM_INDONLI_0013,"Ace Showbiz memberitakan, ayah biologis dua anak itu terkejut soal pengadopsian yang dilakukan sang pelantun Like a Virgin.",human,0,IndoNLI,train,single,18,10330
HUM_INDONLI_0014,"Narissa menyuruh orang setianya, Nathaniel (Timothy Spall), untuk menghalangi Edward. Giselle (Amy Adams), seorang wanita muda, bermimpi bertemu seorang pangeran dan merasakan ""hidup bahagia selamanya"".",human,0,IndoNLI,,"['SEMLEX', 'CS']",25,33131
HUM_INDONLI_0015,"Tgk Hasan Tiro sebagai ""wali"", karena keturunan ketiga Teungku Chik Muhammad Saman di Tiro, pahlawan nasional Indonesia yang memimpin perang melawan Belanda pada tahun 1890-an.",human,0,IndoNLI,,['WORLD'],25,32153
HUM_INDONLI_0016,"Karena itu, syariat telah mengatur bahwa di hari itu tidak diperkenankan seseorang untuk berpuasa sampai pada tingkat haram.",human,0,IndoNLI,train,single,18,10407
HUM_INDONLI_0017,"Iqbal (Angga Yunanda) seperti kupu-kupu Mariposa bagi Acha (Adhisty Zara). Tiap kali didekati ia selalu menghindar. Acha bertekad ingin mendapatkan hati Iqbal, seorang cowok cakep, pintar dan dikenal berhati dingin. Ternyata sikap dingin Iqbal itu tuntutan dari sang ayah yang menginginkannya menang dalam olimpiade sains. Amanda takut Acha akan terluka dan sakit hati.",human,0,IndoNLI,test,multiple,53,3347
HUM_INDONLI_0018,"""Ini bisa menjadi pilihan hadiah Valentine yang berbeda, terutama untuk mereka yang tidak menggemari panganan manis.""",human,0,IndoNLI,train,single,16,10477
HUM_INDONLI_0019,"Masa keemasan Jamhar mulai tahun 1960-an hingga 1985-an. Saat itu, setiap kali ia memainkan lamut, penonton berdesakan. Mereka tak beranjak semalam suntuk mendengarkan kisahnya. Pada masa itu hampir setiap malam ia diundang warga untuk balamut. Undangan tak hanya di Kalsel, tetapi dia berlamut sampai ke Jakarta, Surabaya, dan beberapa kota di Kalimantan Tengah.",human,0,IndoNLI,,['TEMP'],53,32493
